"","KeyID","Latitude","Longitude","Elevation","Rep","Year","Month","Day","L2o","L2","L3","L4","L5","L6","Pupae","Adults","DeathAdult","OvipositingAdult","Brood","Eggs_g2","L1_g2","L2o_g2","L2_g2","AverageInstar","MalePupae","FemalePupae","MaleAdult","FemaleAdult","MaleEmergence","FemaleEmergence","MaleFlight","FemaleFlight","DataType"
"1","Arisaig",45.755,-62.168667,NA,0,2021,4,21,99.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Real_Data"
"2","Arisaig",45.755,-62.168667,NA,0,2021,4,22,99.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Real_Data"
"3","Arisaig",45.755,-62.168667,NA,0,2021,4,23,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Real_Data"
"4","Arisaig",45.755,-62.168667,NA,0,2021,4,24,97.25,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Real_Data"
"5","Arisaig",45.755,-62.168667,NA,0,2021,4,25,84.75,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Real_Data"
"6","Arisaig",45.755,-62.168667,NA,0,2021,4,26,77.75,20.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Real_Data"
"7","Arisaig",45.755,-62.168667,NA,0,2021,4,27,76.75,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Real_Data"
"8","Arisaig",45.755,-62.168667,NA,0,2021,4,28,71,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Real_Data"
"9","Arisaig",45.755,-62.168667,NA,0,2021,4,29,62.75,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Real_Data"
"10","Arisaig",45.755,-62.168667,NA,0,2021,4,30,60.5,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Real_Data"
"11","Arisaig",45.755,-62.168667,NA,0,2021,5,1,56.25,40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Real_Data"
"12","Arisaig",45.755,-62.168667,NA,0,2021,5,2,52.5,43.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Real_Data"
"13","Arisaig",45.755,-62.168667,NA,0,2021,5,3,46.5,49,0.25,0,0,0,0,0,0,0,0,0,0,0,0,2.00261,0,0,0,0,0,0,0,0,"Real_Data"
"14","Arisaig",45.755,-62.168667,NA,0,2021,5,4,40,54.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,2.00265,0,0,0,0,0,0,0,0,"Real_Data"
"15","Arisaig",45.755,-62.168667,NA,0,2021,5,5,37.5,55,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0107,0,0,0,0,0,0,0,0,"Real_Data"
"16","Arisaig",45.755,-62.168667,NA,0,2021,5,6,36.5,55.75,1,0,0,0,0,0,0,0,0,0,0,0,0,2.01072,0,0,0,0,0,0,0,0,"Real_Data"
"17","Arisaig",45.755,-62.168667,NA,0,2021,5,7,34.75,56.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2.01617,0,0,0,0,0,0,0,0,"Real_Data"
"18","Arisaig",45.755,-62.168667,NA,0,2021,5,8,33.5,57.75,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2.01617,0,0,0,0,0,0,0,0,"Real_Data"
"19","Arisaig",45.755,-62.168667,NA,0,2021,5,9,33,56.25,3,0,0,0,0,0,0,0,0,0,0,0,0,2.03252,0,0,0,0,0,0,0,0,"Real_Data"
"20","Arisaig",45.755,-62.168667,NA,0,2021,5,10,30.25,56.5,4.75,0,0,0,0,0,0,0,0,0,0,0,0,2.05191,0,0,0,0,0,0,0,0,"Real_Data"
"21","Arisaig",45.755,-62.168667,NA,0,2021,5,11,27.25,56.25,6.5,0,0,0,0,0,0,0,0,0,0,0,0,2.07222,0,0,0,0,0,0,0,0,"Real_Data"
"22","Arisaig",45.755,-62.168667,NA,0,2021,5,12,25,56.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,2.09444,0,0,0,0,0,0,0,0,"Real_Data"
